"Id","Name","Code","ShortName","ShortNameLatin","Depots","IsCity","CityCode","IsSalePoint"
"66","КАРАТОМАР1","2700057","КАРАТОМАР1","KARATOMAR1",NULL,False,"27",False
"67","ОСТ.ПУНКТ 348 КМ1","2700058","ОП 348 КМ1","OP 348 KM1",NULL,False,"27",False
"68","ВОРОНИНСКАЯ1","2700059","ВОРОНИНСКАЯ1","VORONINSKAIA",NULL,False,"27",False
"69","ОСТ.ПУНКТ 323 КМ","2700060","ОП 323 КМ","OP 323 KM",NULL,False,"27",False
"70","ПАРКОВЫЙ","2700061","ПАРКОВЫЙ","PARKOVYI",NULL,False,"27",False
"71","АБАИЛ","2700062","АБАИЛ","ABAIL",NULL,False,"27",False
"72","ЧЕМОЛГАН","2700063","ЧЕМОЛГАН","CHEMOLGAN",NULL,False,"27",False
"73","ОСТ.ПУНКТ 136 КМ","2700064","ОП 136 КМ","OP 136 KM",NULL,False,"27",False
"74","ОСТ.ПУНКТ 360 КМ1","2700065","ОП 360 КМ1","OP 360 KM1",NULL,False,"27",False
"75","УВАЛЬНЕНСКИЙ1","2700066","УВАЛЬНЕНСКИ1","UVALNENSKII1",NULL,False,"27",False
"76","ИТАРКА","2700067","ИТАРКА","ITARKA",NULL,False,"27",False
"77","БЕГИМБЕТ","2700068","БЕГИМБЕТ","BEGIMBET",NULL,False,"27",False
"78","ОСТ.ПУНКТ N21","2700069","ОП N21","OP N21",NULL,False,"27",False
"79","РАЗ'ЕЗД N 22","2700070","РЗД N22","RZD N22",NULL,False,"27",False
"80","РАЗ'ЕЗД N 15","2700071","РЗД N15","RZD N15",NULL,False,"27",False
"81","ОСТ.ПУНКТ 347 КМ","2700072","ОП 347 КМ","OP 347 KM",NULL,False,"27",False
"82","СОСНОВЫЙ","2700073","СОСНОВЫЙ","SOSNOVYI",NULL,False,"27",False
"83","КАЗЫКУРТ","2700074","КАЗЫКУРТ","KAZYKURT",NULL,False,"27",False
"84","КЕРЕГЕТАС","2700075","КЕРЕГЕТАС","KEREGETAS",NULL,False,"27",False
"85","ТАЛДЫКУДУК","2700076","ТАЛДЫКУДУК","TALDYKUDUK",NULL,False,"27",False
"86","САЙРАМ","2700077","САЙРАМ","SAIRAM",NULL,False,"27",False
"87","ОСТ.ПУНКТ 57 КМ","2700078","ОП 57 КМ","OP 57 KM",NULL,False,"27",False
"88","ЖЕТЫ-СУ","2700079","ЖЕТЫ СУ","JETY SU",NULL,False,"27",False
"89","АЛТАЙ","2700080","АЛТАЙ","ALTAI",NULL,False,"27",False
"90","ДОС","2700081","ДОС","DOS",NULL,False,"27",False
"91","КОПР","2700082","КОПР","KOPR",NULL,False,"27",False
"92","ОСТ.ПУНКТ 3392 КМ","2700083","ОП 3392КМ","OP 3392KM",NULL,False,"27",False
"93","БОКТЕР","2700084","БОКТЕР","BOKTER",NULL,False,"27",False
"94","БУГУНЬ","2700085","БУГУНЬ","BUGUN",NULL,False,"27",False
"95","РАЗ'ЕЗД N41","2700086","РЗД N41","RZD N41",NULL,False,"27",False
"96","РАЗ'ЕЗД НР 1","2700087","РЗД НР 1","RZD NR 1",NULL,False,"27",False
"97","РАЗ'ЕЗД НР 2","2700088","РЗД НР 2","RZD NR 2",NULL,False,"27",False
"98","АЛТЫНДАЛА","2700089","АЛТЫНДАЛА","ALTYNDALA",NULL,False,"27",False
"99","КОРГАСЫН","2700090","КОРГАСЫН","KORGASYN",NULL,False,"27",False
